pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1889378,0.02805861,0.1341392,0.02717949,0.3345788,0.01487179,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1889378,0.02805861,0.1341392,0.02717949,0.3345788,0.01487179,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1889378,0.02805861,0.1341392,0.02717949,0.3345788,0.01487179,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1889378,0.02805861,0.1341392,0.02717949,0.3345788,0.01487179,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1892308,0.02805861,0.1341392,0.02717949,0.3345788,0.01487179,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01487179,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02717949,0.3345788,0.01487179,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01487179,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01487179,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01487179,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06820513,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02630037,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02630037,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06791209,0.1892308,0.02805861,0.1341392,0.02688645,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06761905,0.1892308,0.02805861,0.1341392,0.02630037,0.3345788,0.01457876,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06761905,0.1892308,0.02805861,0.1341392,0.02630037,0.3345788,0.01428571,Nothing
0.1499634,0.1974359,0.1942125,0,0.1435165,0,0.1848352,0,0.3443956,0,Nothing
0.2205861,0.1523077,0.2194139,0.06761905,0.1892308,0.02805861,0.1341392,0.02630037,0.3345788,0.01457876,Nothing
