pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3823443,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6733333,Fist
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3823443,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6733333,Fist
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3823443,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6733333,Fist
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3823443,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6733333,Fist
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3823443,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6733333,Fist
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3823443,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6733333,Fist
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3823443,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6733333,Fist
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3823443,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6733333,Fist
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3843956,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6736264,Fist
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3849817,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6736264,Fist
1,0.7342857,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
1,0.3846886,1,0.2437363,1,0.6317216,0.9661538,0.4060806,1,0.6736264,Fist
1,0.7345787,1,0.14,1,0.2235165,1,0.2032967,1,0.9306227,Fist
