pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
1,1,1,1,1,1,1,1,1,0.1710623,Fist
1,1,1,1,1,1,1,1,1,0.2528205,Fist
