pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4884249,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4887179,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4895971,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4895971,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
0.9320879,1,1,1,1,1,1,0.9514285,0.3753113,0.5590476,Fist
0.5171428,1,1,1,1,1,1,1,0.4901831,0.3190476,Fist
